1;салат мясной;80,00
2;банан;0,00
3;Беллакт 1+;100,00
4;Беллакт 2+;0,00
5;Беллакт -ГЛ ;0,00
6;биточки мясные;65,00
7;биточки рыбные;70,00
8;блинчики с мясом;80,00
9;блинчики с творогом;75,00
10;блины;80,00
11;борщ;70,00
12;борщ из щавеля;70,00
13;булка сдобная;0,00
14;булочка сдобная с повидлом;0,00
15;вермишель  отварная;85,00
16;винегрет;80,00
17;голубцы;75,00
18;гороховое пюре;70,00
19;грудка куриная отварная;80,00
20;гуляш из говядины;75,00
21;гуляш из свинины;75,00
22;джем яблочный;0,00
23;ДМС Беллакт 1+;0,00
24;драники картофельные;80,00
25;жаркое по домашнему;70,00
26;"закуска ""Минская""";80,00
27;запеканка картофельная;75,00
28;запеканка картофельная с мясом;75,00
29;запеканка рыбная;70,00
30;запеканка с крупой;80,00
31;запеканка свекольная ;75,00
32;запеканка творожная;90,00
33;затирка молочная;80,00
34;зеленый горошек;0,00
35;зразы ;75,00
36;икра из баклажан;0,00
37;икра из кабачков;0,00
38;Иммунис 1(0-6);0,00
39;какао с молоком;80,00
40;калдуны;75,00
41;кальмары ( тушка);4,20
42;капуста по домашнему;70,00
43;капуста тушеная квашенная;75,00
44;капуста тушеная свежая;80,00
45;картофель в молочном соусе;80,00
46;картофель в сметанном соусе;80,00
47;картофель жареный;80,00
48;картофель тушеный;70,00
49;картофельное пюре;90,00
50;картофельное пюре с тушенкой;75,00
51;картофельные котлеты;80,00
52;каша геркулесовая;70,00
53;каша гречневая;70,00
54;каша манная;80,00
55;каша овсяная;70,00
56;каша перловая;70,00
57;каша пшенная;80,00
58;каша рисовая;80,00
59;каша с тыквой;75,00
60;кефир;0,00
61;кисель;0,00
62;кнели   мясные;65,00
63;колбаса жареная;75,00
64;колбаса отварная;80,00
65;"колбаски ""Олимпийские""";65,00
66;колбаски по могилевски;65,00
67;компот из свежих фруктов;0,00
68;компот из сухофруктов;0,00
69;котлета из птицы;65,00
70;котлета мясная;75,00
71;котлета рыбная;70,00
72;котлеты овощные;75,00
73;кофейный напиток с молоком;80,00
74;кукуруза;0,00
75;куры жареные;80,00
76;куры отварные;80,00
77;ленивые вареники;75,00
78;ленивые голубцы;75,00
79;макароны отварные;75,00
80;мандарины;0,00
81;молоко ;80,00
82;морская капуста;0,00
83;мясо отварное;80,00
84;мясо тушеное;80,00
85;напиток;0,00
86;овощное рагу;70,00
87;огурец свежий;0,00
88;огурец соленый;0,00
89;окорочок жареный;80,00
90;окорочок отварной;80,00
91;окрошка;80,00
92;оладьи ;80,00
93;оладьи из печени;65,00
94;омлет;80,00
95;оптимум;0,00
96;оптимум 6-12;27,50
97;паштете из печени;90,00
98;пельмени;75,00
99;печень говяжья;70,00
100;печень жареная;70,00
101;печень тушеная;70,00
102;пикша;70,00
103;плов ;75,00
104;поджарка из свинины;80,00
105;помидор свежий;0,00
106;помидор соленый;0,00
107;пудинг из творога;90,00
108;пудинг рыбный;70,00
109;рагу из птицы;70,00
110;рагу мясное;70,00
111;рагу овощное;80,00
112;рассольник;70,00
113;рулет свиной;0,00
114;рыба жареная;55,00
115;рыба запеченная с морковью в сметанном соусе;55,00
116;рыба отварная;70,00
117;"салат  ""Огонек""";80,00
118;"салат ""Чайка""";90,00
119;салат бело-зеленый;90,00
120;Салат из зеленого горошка;85,00
121;салат из зеленого лука со сметаной;90,00
122;салат из квашеной капусты;70,00
123;салат из моркови со сметаной;90,00
124;салат из морской капусты;80,00
125;салат из редиса;85,00
126;салат из редьки;85,00
127;салат из редьки со сметаной;90,00
128;салат из свежей капусты;70,00
129;салат из свежих огурцов;85,00
130;салат из свежих помидоров;85,00
131;салат из свеклы;85,00
132;салат из яиц и лука репчатого;80,00
133;салат овощной;80,00
134;салат рыбный;90,00
135;салат с кукурузой;80,00
136;салат солнечный;80,00
137;салями ;0,00
138;сардельки отварные;80,00
139;свекла тушеная ;80,00
140;свекольник;70,00
141;сельдь соленая;0,00
142;скумбрия натуральная атлантическая;0,00
143;сметана;0,00
144;сок;0,00
145;сок березово- вишневый;0,00
146;сок морковно- яблочный;0,00
147;Сок морковный;0,00
148;сосиски отварные;80,00
149;соус белый;80,00
150;соус молочный;80,00
151;соус сметанный;80,00
152;суп  овощной с зеленым горошком;70,00
153;"суп ""Любительский"" с гречкой";80,00
154;суп гороховый;75,00
155;суп картофельный рыбный;80,00
156;суп картофельный с овсянкой;75,00
157;суп картофельный с перловкой;75,00
158;суп картофельный с пшеничной крупой;75,00
159;суп картофельный с пшеном;80,00
160;суп картофельный с рисом;75,00
161;суп картофельный с фрикадельками;75,00
162;Суп любительский с гречкой;75,00
163;суп молочный с геркулесом;80,00
164;суп молочный с гречкой;80,00
165;суп молочный с макаронами 1 сорта;80,00
166;суп молочный с макаронами в/с;80,00
167;суп молочный с манкой;80,00
168;суп молочный с овсянкой;80,00
169;суп молочный с перловкой;80,00
170;суп молочный с пшеном;80,00
171;суп молочный с рисом;80,00
172;суп овощной ;70,00
173;суп по- могилевски;80,00
174;суп с макаронами 1 сорта;75,00
175;суп с макаронами в/с;75,00
176;суп фасолевый;75,00
177;суфле мясное;75,00
178;суфле рыбное;70,00
179;сыр Демидовский;0,00
180;"сыр твердый ""Рассвет""";0,00
181;сырники;90,00
182;творог со сметаной и сахаром;95,00
183;тефтели мясные;75,00
184;тефтели рыбные;70,00
185;фасоль натуральная;0,00
186;фрикадельки мясные;75,00
187;чай ;0,00
188;чай с молоком;80,00
189;шампиньоны;0,00
190;шницель мясной;65,00
191;щи;70,00
192;яйцо отварное;0,00